job,sheet,row,col,reference,reproduced,abs_diff,stat,conclusion_flip
figure1_2024,figure1,1,1,0.9688,0.968759546629641,4.045337035896157e-05,tu,False
figure1_2024,figure1,1,2,0.0478,0.0478320017819529,3.200178195289505e-05,pval,False
figure1_2024,figure1,1,3,0.0612,0.0609757355843928,0.0002242644156071963,pval,False
figure1_2024,figure1,2,1,0.965,0.965031552725194,3.1552725194061715e-05,tu,False
figure1_2024,figure1,2,2,0.0397,0.0396788423699486,2.1157630051400755e-05,pval,False
figure1_2024,figure1,2,3,0.0494,0.0491712947407356,0.00022870525926439733,pval,False
figure1_2024,figure1,3,1,0.9712,0.971293443689564,9.344368956409888e-05,tu,False
figure1_2024,figure1,3,2,0.0615,0.0620998937194924,0.0005998937194924003,pval,False
figure1_2024,figure1,3,3,0.0799,0.0804686903675933,0.0005686903675932997,pval,False
figure1_2024,figure1,4,1,0.9686,0.968562895818335,3.710418166502638e-05,tu,False
figure1_2024,figure1,4,2,0.0498,0.0498209804444155,2.098044441550123e-05,pval,False
figure1_2024,figure1,4,3,0.0651,0.0648508669046347,0.0002491330953653115,pval,False
figure1_2024,figure1,5,1,0.9648,0.964786099525584,1.3900474415962094e-05,tu,False
figure1_2024,figure1,5,2,0.0475,0.0474827117357963,1.7288264203697834e-05,pval,False
figure1_2024,figure1,5,3,0.0572,0.0569536023922945,0.0002463976077054994,pval,False
figure1_2024,figure1,6,1,0.9671,0.967059061809711,4.0938190288941634e-05,tu,False
figure1_2024,figure1,6,2,0.0547,0.0546828233599603,1.7176640039695545e-05,pval,False
figure1_2024,figure1,6,3,0.0675,0.0672192334099316,0.00028076659006839866,pval,False
figure1_2024,figure1,7,1,0.9665,0.966470116845657,2.988315434304667e-05,tu,False
figure1_2024,figure1,7,2,0.0334,0.0334063597430259,6.359743025902143e-06,pval,False
figure1_2024,figure1,7,3,0.0474,0.0472233714698822,0.000176628530117795,pval,False
figure1_2024,figure1,8,1,0.9591,0.959107928190327,7.9281903270223e-06,tu,False
figure1_2024,figure1,8,2,0.0221,0.0221156179060381,1.5617906038097734e-05,pval,False
