job,sheet,row,col,reference,reproduced,abs_diff,stat,conclusion_flip
figure4_supp_2024,figure4_supp,3,3,0.1333,0.0817600178903384,0.0515399821096616,pval,True
figure4_supp_2024,figure4_supp,5,2,0.0453,0.0537797522021086,0.0084797522021086,pval,True
figure4_supp_2024,figure4_supp,7,3,0.0475,0.0504542562118174,0.0029542562118173993,pval,True
figure4_supp_2024,figure4_supp,12,2,0.1274,0.0728307639102865,0.05456923608971351,pval,True
figure4_supp_2024,figure4_supp,14,2,0.0852,0.131077274092961,0.045877274092960996,pval,True
figure4_supp_2024,figure4_supp,15,2,0.0403,0.0572264558641102,0.0169264558641102,pval,True
figure4_supp_2024,figure4_supp,15,3,0.049,0.0747122519587353,0.025712251958735305,pval,True
figure4_supp_2024,figure4_supp,16,3,0.0798,0.109704188120814,0.02990418812081401,pval,True
figure4_supp_2024,figure4_supp,18,3,0.0911,0.129147380251764,0.038047380251764004,pval,True
figure4_supp_2019,figure4_supp,6,6,0.1095,0.0948249352210799,0.014675064778920097,pval,True
figure4_supp_2019,figure4_supp,7,5,0.0416,0.0559868345561032,0.0143868345561032,pval,True
figure4_supp_2019,figure4_supp,8,5,0.0377,0.0501294335213673,0.0124294335213673,pval,True
figure4_supp_2019,figure4_supp,8,6,0.0481,0.0617066508216519,0.013606650821651904,pval,True
figure4_supp_2019,figure4_supp,10,5,0.0684,0.0434467976879531,0.024953202312046903,pval,True
figure4_supp_2019,figure4_supp,10,6,0.0997,0.043731028428643,0.055968971571356996,pval,True
figure4_supp_2019,figure4_supp,12,5,0.2094,0.0851769760159629,0.1242230239840371,pval,True
figure4_supp_2019,figure4_supp,13,5,0.1348,0.0982549536759623,0.0365450463240377,pval,True
figure4_supp_2019,figure4_supp,16,5,0.1065,0.0964288150794905,0.010071184920509499,pval,True
figure4_supp_2019,figure4_supp,17,6,0.1061,0.0907535363404089,0.015346463659591095,pval,True
