job,exit_code,seconds
main,0,47.5
main_sma_bma,0,6.1
main_reg,0,7.4
main_brent,0,9.4
main_rac,0,9.4
main_exp,0,6.8
main_real,0,46.7
main_prior_g0.05,0,9.4
main_prior_g0.5,0,9.4
main_prior_g5,0,9.7
main_prior_g50,0,9.7
main_prior_g100,0,9.2
main_for_h2,0,9.5
main_for_h3,0,10.2
main_for_h4,0,10.2
main_for_h9,0,10.5
main_sim_lam1,0,9.2
main_sim_lam1.5,0,10.0
main_sim_lam0.5,0,10.0
figure1_2024,0,17.2
figure1_2019,0,17.2
figure4_ir0,0,16.7
figure4_ir1,0,16.7
figure5_ir0,0,16.7
figure5_ir1,0,17.2
figure7_2024,0,17.6
figure7_2019,0,17.0
table1_supp_2024,0,6.8
table1_supp_2019,0,6.3
figure1_supp_lam1,0,7.3
figure1_supp_lam1.5,0,7.0
figure1_supp_lam0.5,0,8.3
figure2_supp_2024,0,9.1
figure2_supp_2019,0,8.9
figure3_supp_2024,0,8.8
figure3_supp_2019,0,8.9
figure4_supp_2024,0,16.7
figure4_supp_2019,0,16.2
figure5_supp_2024,0,16.4
figure5_supp_2019,0,16.4
figure6_supp_a,0,10.4
figure6_supp_b,0,9.8
figure6_supp_c,0,10.1
figure6_supp_d,0,11.1
figure7_supp_g0.05_2024,0,7.8
figure7_supp_g0.05_2019,0,7.8
figure7_supp_g0.5_2024,0,8.3
figure7_supp_g0.5_2019,0,6.6
figure7_supp_g5_2024,0,7.4
figure7_supp_g5_2019,0,7.9
figure7_supp_g50_2024,0,6.2
figure7_supp_g50_2019,0,8.0
figure7_supp_g100_2024,0,7.5
figure7_supp_g100_2019,0,9.0
figure9_supp_h2,0,8.5
figure9_supp_h3,0,8.0
figure9_supp_h4,0,8.3
figure9_supp_h9,0,7.5
figure8_supp,0,16.4
figure2,0,17.4
figure3,0,16.7
figure6,0,16.7
figure9_supp,0,16.7
