job,sheet,cells,max_abs_diff,mean_abs_diff,conclusion_flips,match_4dp_share,cells_over_1e-3
figure1_2024,figure1,54,0.0008738499198580052,0.00014106350107397878,0,0.574,0
figure1_2019,figure1,54,0.0009070843428610198,0.00014654983719363893,0,0.63,0
figure4_ir0,figure4,54,0.0015492964809770138,0.00017267768534908837,0,0.593,1
figure4_ir1,figure4,54,0.003440740301376005,0.0010510958960943276,0,0.63,19
figure5_ir0,figure5,54,0.007390809689834077,0.0005040075728960474,0,0.574,4
figure5_ir1,figure5,54,0.0006070734636612896,0.00014831393264652787,0,0.648,0
figure7_2024,figure7,36,0.019299653787740984,0.0010868754072535375,0,0.944,2
figure7_2019,figure7,36,4.557071341404484e-05,2.2109397403550942e-05,0,1.0,0
table1_supp_2024,table1_supp,21,4.901245852195757e-05,2.6329042143764208e-05,0,1.0,0
table1_supp_2019,table1_supp,21,4.431036726104676e-05,2.372759200934615e-05,0,1.0,0
figure1_supp_lam1,figure1_supp,2940,0.004631568154694982,2.36995446877936e-05,0,0.995,11
figure1_supp_lam1.5,figure1_supp,2940,4.996502860099561e-05,1.5489583657207397e-05,0,1.0,0
figure1_supp_lam0.5,figure1_supp,2940,4.9973695693109055e-05,1.520644587285035e-05,0,1.0,0
figure2_supp_2024,figure2_supp,54,0.0006113315993400009,0.00012954167893674813,0,0.556,0
figure2_supp_2019,figure2_supp,54,0.00038867371449870236,0.0001264235324267254,0,0.648,0
figure3_supp_2024,figure3_supp,54,0.000533237831352007,9.665383444944529e-05,0,0.611,0
figure3_supp_2019,figure3_supp,54,0.0008276578133989965,0.0001200555199531439,0,0.648,0
figure4_supp_2024,figure4_supp,54,0.09594987156546303,0.015247937243003594,9,0.0,47
figure4_supp_2019,figure4_supp,54,0.22005752702290401,0.02452833249126101,10,0.0,47
figure5_supp_2024,figure5_supp,54,0.000627717163164801,6.438539902750979e-05,0,0.796,0
figure5_supp_2019,figure5_supp,54,0.0009454705613120007,5.966069316158365e-05,0,0.944,0
figure6_supp_a,figure6_supp,36,0.0004965009937729914,5.189496581205635e-05,0,0.861,0
figure6_supp_b,figure6_supp,36,0.0006463521880370054,7.057354410176239e-05,0,0.861,0
figure6_supp_c,figure6_supp,36,0.0004000605372539989,3.919568118184046e-05,0,0.861,0
figure6_supp_d,figure6_supp,36,0.00042710598224099394,4.140742326446578e-05,0,0.889,0
figure7_supp_g0.05_2024,figure7_supp,3,0.00032761214970920827,0.0001294625318999145,0,0.667,0
figure7_supp_g0.05_2019,figure7_supp,3,0.0003413158489709994,0.00013484771785164662,0,0.667,0
figure7_supp_g0.5_2024,figure7_supp,3,0.00027396635260880375,0.0001095316675181109,0,0.667,0
figure7_supp_g0.5_2019,figure7_supp,3,0.0003005258951317008,0.00013026236087306428,0,0.667,0
figure7_supp_g5_2024,figure7_supp,3,0.0037079799859088963,0.002079860065682402,0,0.0,2
figure7_supp_g5_2019,figure7_supp,3,0.0028971261565819972,0.0020634877848061486,0,0.0,2
figure7_supp_g50_2024,figure7_supp,3,0.0002242644156071963,9.89065226396843e-05,0,0.667,0
figure7_supp_g50_2019,figure7_supp,3,0.00032429398340060034,0.00013028601529235795,0,0.667,0
figure7_supp_g100_2024,figure7_supp,3,0.00016837652768630224,7.315047541522669e-05,0,0.667,0
figure7_supp_g100_2019,figure7_supp,3,0.0002506013559692988,0.00011236344490987936,0,0.667,0
figure9_supp_h2,figure9_supp,3,2.4358907072294378e-05,1.4790295220836839e-05,0,1.0,0
figure9_supp_h3,figure9_supp,3,4.060553043494508e-05,2.3923995889985988e-05,0,1.0,0
figure9_supp_h4,figure9_supp,3,4.286631212402359e-05,2.7713885157672664e-05,0,1.0,0
figure9_supp_h9,figure9_supp,3,2.3634459589999546e-05,1.3454981448002279e-05,0,1.0,0
